,movie_url,username,date,score,review
0,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,Isteffy,"Nov 5, 2023",5,"A creative concept for a movie, but ultimately the story is so disjointed, with no point. The plot teases a drama that never happens. The movie, despite being way too long, ends at an unsatisfying point"
1,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,etopp,"Apr 8, 2023",6,"While an interesting experiment (similar to the ""7 Up"" series), this film is unsuccessful in telling an engrossing story. Does the viewer really care how this kid is going to turn out?"
2,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,JoshuaKirbs,"Jan 20, 2022",4,"this was one of the most overhyped films iv ever seen. this is such a slow, boring, not that well-acted mess of a film. the concept of a movie taking 12+ years is super interesting but in execution, it's not that fun of a watch, Ellar Coltrane whiles yes was literally a boy growing into a man, his acting skills don't feel well developed throughout the movie and it becomes monotonous and annoying to watch and this basically goes for the rest of the cast. again the best way to sum this film up is that its a really cool idea but isn't a good movie"
3,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,fletchicution,"Aug 27, 2021",6,"The idea behind this film was a fantastic one. It sought to do what no previous film had ever attempted, that being filming the actors over several years as they grew rather than trying to cast others who looked similar at various ages. That in and of itself is a remarkable feat. However, like many films that try to accurately emulate what real life is like, this story didn't have much of a plot. It is understandably difficult to have an overarching theme when trying portray the life and struggles of an adolescent boy. That is perhaps why this particular film seemed to wander significantly. There were a couple of really good scenes and a few powerful lessons that one could take away from this motion picture, but simply good scenes, unfortunately, do not make a good movie."
4,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,Simon-J,"Jul 14, 2021",5,"I don't mind thoughtful, slow-paced films, honestly, I don't. I love a lot of them.

But this film.

I **** it!!! It left me cold!"
5,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,alokhere,"May 14, 2021",4,"its kind of filled with emptiness and as words describe itself in it hard skined life when not much to see ahead its get boring.
a growing man getting advice from all the people who are shaping his world which is not quite good because he wants freedom to get his own experience and all that"
6,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,clem666,"May 5, 2021",6,[SPOILER ALERT: This review contains spoilers.]
7,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,PierceM,"Nov 21, 2019",4,"I was so excited to see this film! I wanted to give this movie a good review, but it just really falls flat. I remember sitting down and watching it all the way through with high hopes and I came out with nothing but disappointment. The protagonist is an ass-hat, his mother is naive and allows herself to enter abusive relationships, and the film just drags on endlessly. It is filled to the brim with horrible dialogue and very mediocre acting! The critics must have been payed off because this film is so far from a 100! **** Boyhood! It really is not a good film!"
8,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,Matticuss77,"Jun 19, 2019",6,"Boyhood is basically a good movie, and it was made in a way that, miraculously, ended up working. But ultimately, I have to pose the question of whether or not the story presented here will hold up next to timeless classics like The Godfather, and I don't think it will. Great on a technical level and definitely worth one watch, at least, the film ultimately succumbs to pretentious posturing. Not for me."
9,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,FelicityFenwick,"Aug 19, 2018",5,"Simply an overrate film that seems to have gotten a TON of love from the critics simply because of how long it took to make it. Stunt cinema.  For the most part, I was non-plused."
10,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,Andremax,"Jul 10, 2018",6,"An emotional film, sometimes the viewer can identify itself with the main character, feeling empathy with him. The movies' biggest fail is having a very slow pace, might even putting the watcher to sleep."
11,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,KingCrasher,"Jan 10, 2018",6,A very interesting movie concept that works beautifully to create a pleasurable watch.  The characters are enchanting and the progression and general feeling of the film is very cute.  An excellent cast and a highly respectable piece of film making.
12,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,nielsnable,"Jan 5, 2018",6,"There's nothing really special about Boyhood aside from Patricia Arquette's spectacular performance as a struggling middle-class parent, the fact that it was filmed for more than a decade, and being 30 minutes too long. You may find yourself dozing off at random times throughout the movie."
13,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,KarlisKool,"Aug 8, 2017",4,Personally i don't think that this deserves a full 100/100 % it wasn't the worst but wasn't great. The idea is great but I don't think that it successfully succeeded. It definitely was good just not great.
14,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,JP32,"Jun 17, 2017",5,"For a third or so of the film, its execution is equal to its ambition. It's when the story drifts from the interesting family dynamics to the pointless moping about of a pretentious and unlikeable teenager that the wheels fall off."
15,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,night4,"May 18, 2017",6,"Way, WAY, too long and vastly overrated.  Probably the most overrated movie of all time now.

Cons: All of the other actors outshine the boy in every scene.  Almost every scene is disconnected from the rest of the movie.  It's way too long.

Pros: Partway through, you realize how much this kid has changed, not just in appearance, but in how he acts too.  I saw a lot of myself in him, and sort of felt like I knew him because I watched him grow up.

I do see the appeal, in a way, but the cons are pretty big ones."
16,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,DrBlahBlah,"May 2, 2017",4,"One of the most overrated films in recent memory. The 12-year gimmick is amusing, but the writing is tedious and cliched, and the run time is an hour too long."
17,https://www.metacritic.com/movie/boyhood/user-reviews/?filter=Mixed%20Reviews,Targayrean,"Jan 4, 2017",4,[SPOILER ALERT: This review contains spoilers.]
